corp_code,corp_name,corp_name_norm,stock_code,source
00431033,이천일아울렛제일차유동화전문유한회사,이천일아울렛제일차유동화전문유한회사,,DART:corpCode
00240866,씨마유통,씨마유통,,DART:corpCode
00440934,캠앤아이코리아,캠앤아이코리아,,DART:corpCode
00440952,제이경영컨설팅,제이경영컨설팅,,DART:corpCode
00435598,태거산업,태거산업,,DART:corpCode
00350136,마인드텔,마인드텔,,DART:corpCode
00350206,엘파오벤쳐캐피탈,엘파오벤쳐캐피탈,,DART:corpCode
00268288,심스밸리,심스밸리,,DART:corpCode
00105846,LGEI,LGEI,,DART:corpCode
00350756,유리크레디트회사채혼합형펀드,유리크레디트회사채혼합형펀드,,DART:corpCode
00149497,알파캐피탈,알파캐피탈,,DART:corpCode
00264778,유니씨앤티,유니씨앤티,,DART:corpCode
00289227,미래에셋파이오니어벤처코스닥펀드,미래에셋파이오니어벤처코스닥펀드,,DART:corpCode
00449184,디에이치파트너스,디에이치파트너스,,DART:corpCode
00369028,근하종합개발호텔엑스포,근하종합개발호텔엑스포,,DART:corpCode
00152491,코락,코락,,DART:corpCode
00445601,터보엔지니어링,터보엔지니어링,,DART:corpCode
00407610,알파엔지니어링,알파엔지니어링,,DART:corpCode
00146241,명성건설,명성건설,,DART:corpCode
00446071,스카이함백,스카이함백,,DART:corpCode
00368384,비에스그룹,비에스그룹,,DART:corpCode
00446840,삼부이엔씨,삼부이엔씨,,DART:corpCode
00245791,두앙종합건설,두앙종합건설,,DART:corpCode
00449625,신성전자,신성전자,,DART:corpCode
00375223,한국기업금융자문,한국기업금융자문,,DART:corpCode
00411631,고룡,고룡,,DART:corpCode
00256326,아성식품,아성식품,,DART:corpCode
00367330,세원지애에이치,세원지애에이치,,DART:corpCode
00371838,남양주택건설,남양주택건설,,DART:corpCode
00246480,이조해운,이조해운,,DART:corpCode
00359304,한서화학,한서화학,,DART:corpCode
00415600,대륭전자,대륭전자,,DART:corpCode
00422910,서울에프엔텍파트너스,서울에프엔텍파트너스,,DART:corpCode
